9231814656

     Summary: group layer ops

group_layer,group_conv_ops,ic0,ih0,iw0,i0_mem_type,iact0_size,ic1,ih1,iw1,i1_mem_type,iact1_size,oc0,oh0,ow0,o0_mem_type,oact0_size,oc1,oh1,ow1,o1_mem_type,oact1_size
ReLU_0__Relu_1,541900800,0,0,0,-1,0,0,0,0,-1,0,64,144,400,2,3686400,0,0,0,-1,0
MaxPool2d_0__MaxPool_2,0,0,0,0,-1,0,0,0,0,-1,0,64,72,200,2,921600,0,0,0,-1,0
ReLU_4__Relu_12,2565734400,0,0,0,-1,0,0,0,0,-1,0,64,72,200,2,921600,0,0,0,-1,0
ReLU_6__Relu_18,899481600,0,0,0,-1,0,0,0,0,-1,0,128,36,100,2,460800,0,0,0,-1,0
ReLU_8__Relu_23,1091174400,0,0,0,-1,0,0,0,0,-1,0,128,36,100,2,460800,0,0,0,-1,0
ReLU_10__Relu_29,914227200,0,0,0,-1,0,0,0,0,-1,0,256,18,50,2,230400,0,0,0,-1,0
ReLU_12__Relu_34,1120665600,0,0,0,-1,0,0,0,0,-1,0,256,18,50,2,230400,0,0,0,-1,0
ReLU_14__Relu_40,884736000,0,0,0,-1,0,0,0,0,-1,0,512,9,25,2,115200,0,0,0,-1,0
ReLU_16__Relu_45,1179648000,0,0,0,-1,0,0,0,0,-1,0,512,9,25,2,115200,0,0,0,-1,0
Conv2d_20__Conv_46,921600,0,0,0,-1,0,0,0,0,-1,0,8,9,25,2,1800,0,0,0,-1,0
Reshape_1,0,0,0,0,-1,0,0,0,0,-1,0,1800,1,1,2,1800,0,0,0,-1,0
Linear_1__Gemm_51,33325056,0,0,0,-1,0,0,0,0,-1,0,14472,1,1,1,14472,0,0,0,-1,0
